id,cuatrienio_id,comision_id,congresista_id,cargo_legislativo_id_comision,fecha_inicio,fecha_fin,activo,usercreated,usermodifed,created_at,updated_at
65,1,2,312,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,02/06/10 16:58
66,1,4,316,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,02/06/10 17:28
67,1,8,344,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,03/06/10 18:34
68,1,5,449,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,28/09/10 17:19
69,1,14,327,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,21/09/10 20:35
70,1,8,475,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,28/09/10 20:03
71,1,11,487,NA,20/07/98,02/03/02,T,,,17/01/10 17:29,04/06/10 15:29
72,1,11,446,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,28/09/10 17:18
73,1,13,408,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,24/09/10 15:07
74,1,2,336,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:05
75,4,9,115,NA,20/07/02,19/07/06,T,,,17/01/10 17:29,30/08/10 15:43
76,1,7,407,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 16:00
77,1,4,366,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 17:20
78,1,9,313,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 18:26
79,1,10,409,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 18:30
80,1,1,391,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:19
81,1,1,429,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,27/09/10 22:04
82,1,13,447,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:36
83,1,8,310,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:47
84,1,10,369,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 19:48
85,1,14,329,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,30/08/10 20:33
86,1,6,323,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,21/09/10 20:14
87,1,12,326,NA,20/07/98,01/04/01,T,,,17/01/10 17:29,01/03/11 21:52
88,1,4,333,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,21/09/10 20:45
89,1,2,337,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,21/09/10 21:08
90,1,7,345,NA,20/07/98,12/10/99,T,,,17/01/10 17:29,24/09/10 15:38
91,1,4,362,NA,20/07/98,19/07/02,T,,,17/01/10 17:29,22/09/10 17:03
92,1,12,367,NA,09/09/99,31/12/99,T,,,17/01/10 17:29,22/09/10 18:33
