id,created_at,updated_at,nombre,imagen,proyecto_ley_id,activo,usermodifed,usercreated
125,2011/02/16 19:31:09,2011/02/16 19:31:09,"Ministro de Minas y Energía, Luis Carlos Valenzuela Delgado",uploads/otros_autores/Luis_Carlos_Valenzuela.jpg,NA,NA,NA,NA
126,2011/02/17 16:56:06,2011/02/17 16:56:06,"Viceministra de Relaciones Exteriores, Clemencia Forero Ucrós",uploads/otros_autores/Clemencia_Forero.jpg,NA,NA,NA,NA
146,2011/05/11 17:02:44,2011/05/11 17:02:44,"Presidente Consejo Nacional Electoral, Luis Felipe Vergara Cabal",NA,NA,NA,NA,NA
127,2011/02/17 16:57:09,2011/02/17 16:59:22,"Viceministro de Desarrollo Empresarial, Ricardo Duarte Duarte",uploads/otros_autores/Ricardo_Duarte_Duarte.jpg,NA,NA,NA,NA
128,2011/02/17 18:56:16,2011/02/17 18:56:16,"Viceministra de Relaciones Exteriores, María Fernanda Campo",uploads/otros_autores/maria_fernanda_campo.jpg,NA,NA,NA,NA
129,2011/02/17 19:59:49,2011/02/17 19:59:49,"Ministro de Agricultura y Desarrollo Rural, Rodrigo Villalba Mosquera",uploads/otros_autores/Rodrigo_Villalba.jpg,NA,NA,NA,NA
130,2011/02/25 20:39:43,2011/02/25 20:39:43,"Ministro de Defensa Nacional, Luis Fernando Ramírez Acuña",uploads/otros_autores/Luis_Fernando_Ramirez.jpg,NA,NA,NA,NA
131,2011/02/28 20:26:28,2011/02/28 20:26:28,"Ministro de Transporte, Gustavo Adolfo Canal Mora",uploads/otros_autores/Gustavo_Canal.jpg,NA,NA,NA,NA
132,2011/03/10 15:11:05,2011/03/10 16:43:04,"Ministro del Interior, Armando Estrada Villa",uploads/otros_autores/Armando_Estrada_Villa.jpg,NA,NA,NA,NA
147,2011/05/11 21:31:50,2011/05/11 21:31:50,"Ministro de Educación, Francisco José Lloreda",uploads/otros_autores/francisco-jose-lloreda.JPG,NA,NA,NA,NA
81,2010/11/04 19:31:27,2011/03/10 16:55:12,"Viceministro de Minas y Energía, Manuel F. Maiguashca Olano",uploads/otros_autores/Manuel_F._Maiguashca_Olano.jpg,NA,NA,NA,NA
133,2011/03/11 15:22:34,2011/03/11 15:22:34,"Contralora General de la República, Sandra Morelli Rico",uploads/otros_autores/Sandra_Morelli.jpg,NA,NA,NA,NA
134,2011/03/14 21:38:39,2011/03/14 22:02:34,"Ministro de Hacienda y Crédito Público, Juan Manuel Santos",uploads/otros_autores/juan_manuel_santos.jpg,NA,NA,NA,NA
148,2011/05/27 20:28:16,2011/05/27 20:28:16,"Ministra de Ambiente Vivienda y Desarrollo Territorial, Beatriz Uribe",uploads/otros_autores/Ministra_de_Ambiente_Vivienda_y_Desarrollo_Territorial_Beatriz_Uribe.jpg,NA,NA,NA,NA
135,2011/03/15 19:36:10,2011/03/15 19:36:10,"Viceministra de Comercio Exterior, Angela María Orozco Gómez",uploads/otros_autores/Angela_Mario_Orozco.jpg,NA,NA,NA,NA
136,2011/03/18 21:16:06,2011/03/18 21:16:06,"Ministro del Interior, Humberto de la Calle Lombana",uploads/otros_autores/Humberto_de_la_Calle.jpg,NA,NA,NA,NA
137,2011/03/18 21:18:09,2011/03/18 21:18:09,"Director Departamento Administrativo de la Función Pública, Mauricio Zuluaga Ruiz",NA,NA,NA,NA,NA
138,2011/03/24 22:13:40,2011/03/24 22:13:40,"Ministra de Comunicaciones, María del Rosario Sintes Ulloa",uploads/otros_autores/Maria_del_Rosario_Sintes.jpg,NA,NA,NA,NA
139,2011/04/05 21:26:21,2011/04/05 21:26:21,"Ministro de Desarrollo Económico, Augusto Ramírez Ocampo",uploads/otros_autores/Augusto_Ramirez_Ocampo.png,NA,NA,NA,NA
