id,control_politico_id,congresista_id,activo,usercreated,usermodifed,created_at,updated_at
59650,9956,973,NA,NA,NA,NA,NA
63128,24503,122,NA,NA,NA,NA,NA
63129,24503,259,NA,NA,NA,NA,NA
59930,8451,41,NA,NA,NA,NA,NA
668,148,853,NA,NA,NA,NA,NA
669,149,862,NA,NA,NA,NA,NA
59931,8451,92,NA,NA,NA,NA,NA
59932,8451,28,NA,NA,NA,NA,NA
59933,8451,879,NA,NA,NA,NA,NA
63130,24503,1219,NA,NA,NA,NA,NA
63131,24538,914,NA,NA,NA,NA,NA
63134,24594,240,NA,NA,NA,NA,NA
63135,24596,240,NA,NA,NA,NA,NA
63136,24597,240,NA,NA,NA,NA,NA
63137,24574,122,NA,NA,NA,NA,NA
63138,24574,1219,NA,NA,NA,NA,NA
63139,24598,128,NA,NA,NA,NA,NA
63140,24600,16,NA,NA,NA,NA,NA
63141,24601,104,NA,NA,NA,NA,NA
683,152,159,NA,NA,NA,NA,NA
684,153,55,NA,NA,NA,NA,NA
39681,3439,505,NA,NA,NA,NA,NA
63142,24602,16,NA,NA,NA,NA,NA
63144,18843,2233,NA,NA,NA,NA,NA
57043,8125,36,NA,NA,NA,NA,NA
57228,9385,643,NA,NA,NA,NA,NA
57229,9385,2600,NA,NA,NA,NA,NA
57230,9385,1257,NA,NA,NA,NA,NA
57231,9385,77,NA,NA,NA,NA,NA
57232,9385,968,NA,NA,NA,NA,NA
57233,9385,921,NA,NA,NA,NA,NA
57269,9728,100,NA,NA,NA,NA,NA
57288,9901,9,NA,NA,NA,NA,NA
57289,9901,505,NA,NA,NA,NA,NA
63145,18843,2462,NA,NA,NA,NA,NA
