id,numero_expediente,sentencia_id
1302,D1473,1171
1303,D1482,1172
1304,D-1483,1173
1305,D1490,1174
1306,D1491,1175
1307,D1497,1176
1308,D1501,1177
1309,D1512,1178
1310,LAT091,1179
1311,D1489,1180
1312,D1498,1181
1313,D1502,1182
1314,D1506,1183
1315,D-1509,1184
1316,LAT092,1185
1317,D1457,1186
1318,D1476,1187
1319,D1480,1188
1320,D1486,1189
1321,D1499,1190
1322,D1507,1191
1323,D1492,1192
1324,D1520,1193
1325,D1521,1194
1326,D-1511,1195
1327,D1515,1196
1328,D1519,1197
1329,D1526,1198
1330,D1524,1199
1331,D1517,1200
1332,D1531,1201
1333,D1516,1202
1334,LAT095,1203
1335,OP014,1204
1336,OP015,1205
1337,D-1518,1206
1338,D1527,1207
1339,OP016,1208
1340,D1495,1209
1341,OP17,1210
1342,D1514,1211
1343,D1548,1212
1344,D1549,1212
1345,D1550,1212
1346,D1555,1212
1347,D1522,1213
1348,D1523,1213
1349,D1533,1214
1350,D1534,1215
1351,D1536,1216
1352,D1541,1216
1353,D-1537,1217
1354,D1445,1218
1355,D1530,1219
1356,D1544,1220
1357,D1551,1221
1358,D1553,1221
1359,D1554,1221
1360,D1556,1221
1361,LAT094,1222
1362,D1539,1223
1363,D1540,1224
1364,D1542,1225
1365,D1557,1226
1366,D1564,1227
1367,D-1573,1228
1368,D1547,1229
1369,D1545,1230
1370,LAT100,1231
1371,D1552,1232
1372,D1560,1233
1373,D1563,1234
1374,D1565,1235
1375,D1569,1236
1376,D1575,1237
1377,D1578,1238
1378,D-1582,1239
1379,D-1588,1239
1380,D-1612,1239
1381,D1585,1240
1382,D1589,1241
1383,D1597,1242
1384,LAT098,1243
1385,LAT099,1244
1386,D1546,1245
1387,D1576,1246
1388,D1580,1247
1389,D1584,1248
1390,D-1586,1249
1391,D5190,1250
1392,D1590,1250
1393,D1607,1250
1394,D1613,1250
1395,D1594,1251
1396,D1596,1252
1397,D1605,1253
1398,D1587,1254
1399,D1595,1255
1400,D1601,1256
1401,D1604,1257
1402,D1648,1258
1403,D1655,1259
1404,D-1615,1260
1405,OP018,1261
1406,LAT096,1262
1407,LAT097,1263
1408,D1593,1264
1409,D1606,1265
1410,D1608,1266
1411,D1617,1267
1412,D1618,1268
1413,D1624,1269
1414,D1630,1270
1415,D-1610,1271
1416,D1635,1272
1417,D1616,1273
1418,D1620,1274
1419,D1621,1275
1420,D1622,1276
1421,D1623,1277
1422,D1625,1278
1423,D1631,1279
1424,D1535,1280
1425,D1627,1281
1426,D-1633,1282
1427,D1611,1283
1428,D1640,1284
1429,D1628,1285
1430,D1629,1286
1431,D1644,1287
1432,D1598,1288
1433,D1632,1289
1434,D1634,1290
1435,D1641,1291
1436,D1654,1292
1437,D1661,1292
1438,D-1667,1293
1439,D1668,1294
1440,D1674,1295
1441,D1645,1296
1442,D1660,1297
1443,D1665,1298
1444,OP17,1299
1445,D1581,1300
1446,D1609,1301
1447,D1619,1302
1448,D1638,1303
1449,D-1646,1304
1450,D1650,1305
1451,D1651,1306
1452,D1652,1307
1453,D1653,1308
1454,D1664,1309
1455,D1670,1310
1456,D1602,1311
1457,OP019,1312
1458,LAT101,1313
1459,D1591,1314
1460,D-1647,1315
1461,D-1649,1315
1462,D-1657,1315
1463,D1656,1316
1464,D1673,1317
1465,D1675,1318
1466,D1678,1319
1467,D1683,1320
1468,D1685,1321
1469,D1688,1322
1470,OP20,1323
1471,D1676,1324
1472,D1677,1325
1473,D-1679,1326
1474,D1684,1327
1475,D1686,1328
1476,D1695,1329
1477,D1704,1330
1478,D1737,1330
1479,D1714,1331
1480,D1733,1331
1481,D1717,1332
1482,D1723,1333
1483,D1835,1334
1484,1840,1334
1485,1850,1334
1486,D1639,1335
1487,D1681,1336
1488,D1682,1336
1489,D1687,1336
1490,D-1692,1337
1491,D1696,1338
1492,D1701,1339
1493,D1709,1340
1494,D1710,1341
1495,LAT102,1342
1496,D1724,1343
1497,D1666,1344
1498,D1671,1345
1499,D1689,1346
1500,D1698,1347
1501,D-1703,1348
1502,D1706,1349
1503,D1707,1350
1504,D1708,1351
1505,D1712,1352
1506,D1741,1352
1507,D1713,1353
1508,D1720,1354
1509,D1721,1355
1510,D1729,1356
1511,D1680,1357
1512,D1697,1358
1513,D-1722,1359
1514,D1725,1360
1515,D1726,1361
1516,D1731,1362
1517,D1735,1363
1518,D1740,1363
1519,D1738,1364
1520,D1739,1365
1521,D1742,1366
1522,D1745,1367
1523,D1751,1368
1524,D1734,1369
1525,D-1767,1370
1526,OP021,1371
1527,D1750,1372
1528,D1769,1373
1529,LAT103,1374
1530,LAT105,1375
1531,D1754,1376
1532,D1757,1377
1533,D1761,1378
1534,D1763,1379
1535,D1753,1380
1536,D-1764,1381
1537,D1746,1382
1538,D1756,1383
1539,D1760,1384
1540,D1768,1385
1541,D1777,1386
1542,D1770,1387
1543,D1785,1388
1544,D1787,1389
1545,D1758,1390
1546,D1765,1391
1547,D-1789,1392
1548,D1747,1393
1549,D1771,1394
1550,D1773,1395
1551,D1775,1395
1552,D1783,1395
1553,D1774,1396
1554,D1778,1397
1555,D1791,1397
1556,D1782,1398
1557,D1784,1399
1558,D1786,1400
1559,D1788,1401
1560,D1803,1402
1561,D-1804,1403
1562,LAT104,1404
1563,D1792,1405
1564,D1802,1406
1565,D1806,1407
1566,D1807,1407
1567,D1812,1408
1568,D1815,1409
1569,D1822,1410
1570,D1794,1411
1571,D1805,1412
1572,D1820,1413
1573,D-1827,1414
1574,D1842,1415
1575,D1799,1416
1576,D1860,1417
1577,D1772,1418
1578,D1814,1419
1579,D1824,1420
1580,D1846,1420
1581,D1885,1421
1582,D1797,1422
1583,D1809,1422
1584,D1813,1422
1585,D1818,1422
1586,D1854,1423
1587,D1790,1424
1588,D1793,1424
1589,D1796,1424
1590,D1798,1424
1591,D-1828,1425
1592,D-1833,1425
1593,D-1837,1425
1594,D-1839,1425
1595,D1831,1426
1596,D1841,1427
1597,D1825,1428
1598,D1801,1429
1599,D1821,1430
1600,D1843,1431
1601,D1847,1432
1602,D1849,1433
1603,D1856,1434
1604,D1859,1435
1605,D-1867,1436
1606,D-1871,1436
1607,D-1873,1436
1608,D1868,1437
1609,D1877,1438
1610,D1863,1439
1611,D1834,1440
1612,D1852,1440
1613,D1855,1440
1614,D1861,1440
1615,OP022,1441
1616,OP23,1442
1617,D1845,1443
1618,D1851,1444
1619,D1862,1445
1620,D1869,1446
1621,D-1876,1447
1622,LAT106,1448
1623,LAT114,1449
1624,D1872,1450
1625,D1874,1451
1626,D1881,1452
1627,D1883,1453
1628,D1889,1454
1629,D1892,1455
1630,D1909,1456
1631,D1836,1457
1632,D-1870,1458
1633,D1776,1459
1634,D1795,1459
1635,D1878,1460
1636,D1884,1461
1637,D1899,1462
1638,LAT107,1463
1639,D1890,1464
1640,D1858,1465
1641,D1879,1466
1642,D1880,1467
1643,D1893,1468
