id,control_politico_id,persona_id
60864,20298,453
60865,20298,2536
60866,20298,2507
60867,20298,922
60945,20467,75
61286,21343,27
61287,21343,92
59914,10291,23
59915,10291,60
59916,10291,519
68319,21810,59
83760,50107,256
61296,21390,212
61297,21392,208
61298,21403,211
58554,15260,646
58555,15260,360
58556,15260,498
58557,15260,1172
58558,15260,186
61309,21419,656
61311,21445,296
61312,21445,873
61313,21476,257
61314,21476,164
61315,21476,296
61316,21476,656
61317,21476,1205
61318,21476,152
61319,21476,1182
61320,21476,159
61326,21503,198
61331,21511,1264
61332,21511,161
61333,21511,398
61334,21511,201
61335,21517,198
61336,21527,161
61337,21527,198
61338,21527,201
61339,21535,120
61340,21535,201
61341,21535,197
61342,21535,198
61343,21536,1264
61344,21536,161
61345,21536,398
61346,21536,201
61349,21550,1264
61350,21550,161
61351,21550,198
61352,21550,201
58710,16916,9
83761,50107,7937
57719,11721,668
57917,13081,25
57918,13081,10
57919,13081,14
58098,14041,196
58099,14041,1011
58100,14041,988
58263,14924,398
58552,15244,646
58711,16916,18
58891,17390,647
83762,50107,7554
61140,21033,2083
61141,21033,862
61142,21033,2502
61143,21033,1292
61144,21033,2517
61145,21033,2491
61146,21033,2492
61147,21033,2523
59913,120,1170
56831,7422,894
58705,16684,192
58706,16684,619
58707,16684,653
58708,16684,118
58709,16684,1019
58890,17387,647
57525,10665,1187
57526,10665,142
57527,10665,182
57717,11720,668
57718,11720,77
57914,13080,10
57915,13080,1260
57916,13080,14
58095,14009,196
58096,14009,1011
58097,14009,988
58262,14907,113
58546,15218,257
58547,15218,164
58548,15218,102
58549,15218,178
58550,15218,1205
58551,15218,152
60826,19803,1819
60827,19803,39
60828,19803,875
59909,10653,914
59910,10653,244
59911,10653,118
59912,10653,1222
60829,19803,77
60830,19803,2447
60831,19803,59
51132,4532,77
51133,4532,511
58698,63,928
57205,9357,968
57206,9357,875
57521,10659,1187
57522,10659,142
57523,10659,182
57524,10659,1181
57709,92,33
57710,92,4
57711,92,999
57712,92,809
57713,92,498
57714,92,9
57715,92,569
57716,92,61
57911,13058,25
57912,13058,10
57913,13058,1260
58093,97,914
58094,97,197
58699,63,930
58545,15214,102
58700,63,811
58701,63,118
58702,63,247
58703,63,314
58704,63,668
58889,17383,647
59347,1276,66
59908,10672,118
51130,4527,77
51131,4527,511
51246,5321,111
51247,5321,211
60575,19110,2818
51249,5321,248
51250,5321,121
51251,5321,190
58694,39,656
57203,9356,38
57204,9356,55
58695,39,612
58696,39,988
58697,39,252
58888,17242,647
57708,93,811
57907,13052,25
57908,13052,10
57909,13052,1260
57910,13052,309
58089,13949,112
58090,13949,865
83763,50107,2246
74172,39557,2818
59958,18430,134
74173,39557,211
58091,13949,180
59660,1220,153
59661,1220,127
58092,13949,142
60629,2568,889
60630,2568,10
60631,2568,875
60632,2568,1260
60633,2568,1255
60868,20301,763
62415,23366,2279
74174,39557,2455
51139,4539,11
51140,4539,1260
60576,19110,1647
58540,15205,257
58541,15205,178
58542,15205,164
58543,15205,1205
58544,15205,102
59345,113,98
59346,113,60
59907,11762,1184
51129,147,1234
60574,19104,1781
57202,9313,181
57706,94,906
57707,94,77
58088,13950,1219
58257,14891,201
58258,14891,117
58259,14891,2485
58534,15202,257
58535,15202,873
58536,15202,656
58537,15202,1201
58538,15202,627
58539,15202,1214
58689,16586,9
58690,16586,18
58691,16586,713
58692,16586,98
58693,16586,565
58887,17235,647
59344,9665,66
51127,145,9
51128,145,38
51236,5315,111
51237,5315,211
51239,5315,248
51240,5315,121
51241,5315,190
56818,7415,122
56819,7415,259
