id,titulo,texto,img,activo,orden,link
267,"""Lo que uno aprende en el Congreso de la República es que no hay rutinas"": Ángela Robledo",Acompañamos a la representante en algunas de sus actividades usuales para conocer en qué consiste su trabajo,uploads/imgs/personas/Banner_Artículo_Robledo_.jpg,FALSE,34,http://bit.ly/ZwqI5g
66,"Hoy, cuarto debate a la reforma al PL 164/10 de Senado","En la Plenaria de la Cámara se realizará este lunes el último debate a esta iniciativa que pretende reformar los códigos penal, de procedimiento penal, y de la infancia y adolescencia, además de las reglas de extinción de dominio.",uploads/imgs/personas/Vargas_Lleras.jpg,FALSE,209,http://bit.ly/i3RF05
21,Las Caras del Senado,"Congreso Visible, La Silla Vacía y Foto.Must los invitan a la exposición fotográfica “Las Caras del Senado”, que se realizará entre el 4 y el 15 de abril en el Bloque Z de la Universidad de los Andes, con el apoyo de la Embajada de Canadá, Fescol y Uniandinos.",uploads/imgs/personas/Banner_5_caras.jpg,FALSE,229,http://bit.ly/eV3Wh0
138,¿Es posible la participación política de servidores públicos?,"El proyecto 92/11, que se discute hoy en primer debate en la Comisión I de Senado, les podría permitir participar en las actividades de los movimientos y partidos políticos, fuera de su horario laboral.",uploads/imgs/personas/Participacion_politica.jpg,FALSE,131,http://bit.ly/u4ii6s
52,Nuevo intento de debate a la Ley de Víctimas,"La Plenaria de Senado ha agendado para este martes, a las 10:00 a.m., el cuarto debate a la Ley de Víctimas que la semana pasada fue aplazado por falta de qúorum.",uploads/imgs/personas/Victimas_2.jpg,FALSE,215,http://bit.ly/bP3ew3
78,Descarga y comparte el nuevo Boletín de Congreso Visible,"Te invitamos a leer la última publicación que analiza la participación de las mujeres en las pasadas elecciones, las sesiones 'extras' del Congreso y las excepciones al voto nominal.",uploads/imgs/personas/Boletin_20_.jpg,FALSE,179,http://bit.ly/laDZ3a
37,"El Magdalena y su desarrollo, a discusión",La Comisión VII de la Cámara de Representantes se reúne este jueves en Santa Marta (Magdalena) para discutir los diferentes campos de acción en el desarrollo de este departamento.,uploads/imgs/personas/Magdalena.jpg,FALSE,230,http://bit.ly/h2KMbG
82,¿Tu voz hace el cambio?,"Buscamos jóvenes colombianos comprometidos con su participación en la democracia, entendida como un ejercicio que trasciende lo electoral. Buscamos jóvenes críticos y veedores de la gestión pública en sus ciudades y municipios... ¿Te apuntas?",uploads/imgs/personas/Ocasa.jpg,FALSE,190,http://bit.ly/lmdN0K
53,"Comisiones III, VI y VII de Senado invitan a audiencia pública","Se realizará hoy en el Auditorio de la Facultad de Ciencias Económicas de la Universidad Nacional de Colombia, sede Bogotá D.C., y tratará sobre el Plan Nacional de Desarrollo, la sostenibilidad fiscal y la reforma a la educación superior.",uploads/imgs/personas/Unal.jpg,FALSE,220,http://bit.ly/liBIJ6
98,A debate la restitución de tierras,"La Plenaria de la Cámara de Representantes citó, a las 2 de la tarde, al Ministro de Agricultura, al Gerente del Incoder y al Superintendente de Notariado y Registro, con el fin de evaluar las políticas respectivas.",uploads/imgs/personas/Tierras.jpg,FALSE,174,http://bit.ly/rrzcxg
45,CRES entregará su balance al Congreso,"La representante legal de la Comisión de Regulación en Salud, Luz Ángela Gómez, fue citada para este miércoles por las comisiones VII conjuntas para debatir el balance histórico de la CRES.",uploads/imgs/personas/Salud_.jpg,FALSE,216,http://bit.ly/kXjixr
96,Tercer debate a la reforma a la Justicia,"El  debate continúa este miércoles en la Comisión I de la Cámara de Representantes, desde las 9 de la mañana.",uploads/imgs/personas/MinJusticia_y_MinInterior.jpg,FALSE,122,http://bit.ly/vqOhFH
250,Las mujeres en América Latina no logran superar la brecha salarial,En Colombia existe una Ley de Igualdad Salarial de hombres y mujeres desde el 29 de diciembre de 2011.,uploads/imgs/personas/Banner_IgualdadSalarial.jpg,FALSE,51,http://bit.ly/RIbVy3
111,El Sena y la formación técnica y tecnológica para el trabajo,"La Comisión VI de Senado citó al Director del Senado, al Procurador General de la Nación y a la Contralora General de la República, para debatir sobre este tema.",uploads/imgs/personas/Educacion_para_el_trabajo.jpg,FALSE,155,http://bit.ly/rcfWuW
268,¿Cómo juzgamos a nuestros congresistas?,"Conoce quiénes se destacan en elecciones, aprobación de proyectos, control político y disciplina.",uploads/imgs/personas/Banner_Artículo_Éxito.jpg,FALSE,259,http://bit.ly/ZA6mYT
31,Citación para esclarecer homicidios en Tame,"La Comisión II de Senado citó hoy a varios funcionarios para conocer los avances en las investigaciones sobre la violación y asesinato de la menor Jenny Torres, y sobre el homicidio de la jueza Gloria Gaona, hechos ocurridos en Tame, Arauca.",uploads/imgs/personas/Tame.jpg,FALSE,233,http://bit.ly/hJgaFm
3,El Congreso en cifras,"Conozca el balance del primer periodo de la legislatura 2009 – 2010, que en esta ocasión contiene dos nuevas secciones: el Congreso habla e información sobre votaciones nominales",uploads/imgs/personas/banner-home-03.png,FALSE,254,NA
119,¿Se acaba la reelección inmediata presidencial?,"Esto se pretende con el proyecto de acto legislativo No. 01/11, de iniciativa del Polo Democrático, que se debatirá este martes en la Comisión I del Senado.",uploads/imgs/personas/Reeleccion.jpg,FALSE,152,http://bit.ly/nyU7w4
87,El trabajo del Congreso por la niñez,"La representante en Colombia de la UNICEF, Miriam Reyes de Figueroa, fue invitada por la Comisión VII de la Cámara para conocer la opinión de esta entidad sobre la situación de la niñez del país en relación con los últimos desarrollos legislativos.",uploads/imgs/personas/Unicef.jpg,FALSE,185,http://bit.ly/nPHJvh
79,Aprobada en primer debate la Ley Lleras,"Ayer se dio inicio en Comisión I de Senado el trámite de la polémica Ley Lleras, o proyecto de ley No. 241/11 de Senado con el que se pretende regular la responsabilidad por infracciones al derecho de autor y derechos conexos en internet.",uploads/imgs/personas/Ley_Lleras.jpg,FALSE,192,http://bit.ly/m9OHLA
15,Toda la actualidad del Congreso en Twitter,"¿Ya sigues a Congreso Visible en la red de Twitter? A través de @CongresoVisible podrás conocer de primera mano todo lo que ocurre en el Capitolio, además de mantenerte informad@ con nuestros blogs de Ágora.",uploads/imgs/personas/TwitterCV.jpg,FALSE,120,http://bit.ly/kQp4n1
100,Visita la nueva sección de Comisiones en CV,¿Cuántos miembros tiene la Comisión I de la Cámara? ¿Qué proyectos están en trámite en la Comisión IV del Senado? ¿Cuáles son las comisiones legales y especiales? Encuéntralo todo en nuestra nueva sección.,uploads/imgs/personas/Comisiones.jpg,FALSE,134,http://bit.ly/qm6LMn
