id,proyecto_ley_estado_id,comision_id
1886,10286,13
1887,9809,1
1888,9829,9
1889,9829,5
1890,9978,1
1891,10107,11
1892,21401,7
1893,9733,4
1894,12411,3
1895,13223,3
1896,10464,1
1897,9268,7
1898,9515,6
1899,9516,6
1900,28952,6
1901,9493,6
1902,12114,7
1903,12114,1
1904,10009,11
1905,10694,11
1906,10661,11
1907,4838,3
1908,8449,1
1909,9179,3
1910,9294,1
1911,9404,1
1912,10791,1
1913,9962,11
1914,8945,11
1915,9245,9
1916,9288,1
1917,21328,6
1918,9250,1
1919,9844,1
1920,8957,1
1921,9110,1
1922,9412,10
1923,9694,8
1924,10528,10
1925,8932,5
1926,21341,4
1927,10784,7
1928,9127,7
1929,10693,13
1930,9417,10
1931,9267,7
1934,9692,11
1935,10026,11
1936,12786,8
1937,8949,11
1938,8953,11
1939,8954,11
1940,9422,8
1941,12818,4
1942,8714,7
1943,21352,4
1944,10055,4
1945,10074,4
1946,12825,4
1947,28273,11
1948,9499,6
1949,10243,11
1950,20572,3
1951,9099,12
1952,9099,13
1953,9099,10
1954,9099,8
1955,21417,4
1956,9684,4
1957,21303,4
1958,29471,1
1959,8946,11
1960,9103,6
1961,9316,11
1962,9688,4
1963,12794,4
1964,10068,4
1965,10773,1
1966,9966,6
1967,10070,7
1968,10225,4
1969,10084,4
1970,20776,1
1971,12852,1
1972,12798,1
1973,9752,12
1974,9758,7
1975,9862,12
1976,9862,13
1977,9746,6
1978,9869,12
1979,21203,12
1980,10274,12
1981,20922,6
1982,20724,10
1984,8705,4
1985,20821,7
1986,8933,1
1987,9129,7
1988,9346,1
1989,9367,1
1990,9377,1
1991,21145,7
1992,29055,1
1993,29458,12
1994,20999,6
1995,20675,6
1996,9491,6
1997,8414,12
1998,8414,13
1999,8713,10
2000,8917,7
2001,8917,1
2003,9731,12
2004,9824,12
2005,10229,9
2007,10264,10
2008,10267,10
2009,8324,13
2010,10652,11
2011,9757,12
2012,5779,8
2013,7980,8
2014,19173,13
2015,7996,2
